,city,date,id,rating,state,text,username
10,Madison,2018-07-03,6nfMQfDO118s_VuwYQ2VgA,3, WI,"Totally disappointed. I come here because it is the Michelin star restaurant. As a Michelin the price is relatively low, but the food is below average. We ordered the bone marrow, which is just okay. Then we look forward to our main courses to make up the disappointment from the starter. The Halibut and the duck breast came after and they looked nice.The duck breast is tender and juicy, and I like the peachy flavor with a bit sweet and sour hint. This course, I'd say, above average. If you are already here and have to order something, order the duck please!The halibut! Overcooked and all you can taste is just something dry without any feeling on my taste buds.. I would say I can definitely cook better fish myself at home! Avoid this!Now I am wondering, how can BDT get the Michelin star?",Kristy W.
11,Washington,2018-05-03,om1FLCJudjUoMwmo8I4WNA,3, DC,"I'm not quite sure how this is a Michelin Star restaurant. The food was ""okay"" and the service was lacking.  It took our server about 15 minutes to approach our table.  The bread basket took even longer. He was inattentive and I had to keep looking around for him, hoping to make eye contact so he would do things like take our order, refill our waters, offer another cocktail, see if we are enjoying our food, etc.On to the food...Spring Pea Salad: This is a tasty starter, I'd recommend itBone Marrow: It was good, but it wasn't great. It sits on a bed of course salt crystals, which is great for presentation but not really practical.  I wish they had just seasoned the marrow. Pro-tip: Beuchert's Saloon has a delicious bone marrow.Duck Breast: The duck was my least favorite dish at Blue ""Duck"" Tavern. The meat was chewy and course. I literally could not eat it. I ended up taking it home and searing it on the stove a little. Only then was it edible.  I decided they sorely under-cooked it, even for a medium rare.Organic Chicken: The chicken was tender and juicy. But no part of this dish stood out as anything but a well-cooked chicken.Double Chocolate Layer Cake: Decent tasting, needs more of that ice cream. The espresso I had with it was rather good though.Subpoena Cocktail: I really enjoyed this cocktail, despite the fact that our waiter could not even describe it to me or tell me if it was ""sweet.""  FYI it is on the sweet side but the red pepper adds a nice kick that helps offset the sweetness.On the bright side, the food is remarkably photogenic.",Juliya G.
12,Saint Johns,2018-04-13,dh_loSvnaUG4HuTa89_wwA,5, FL,"My first Michelin-starred restaurant experience was at Blue Duck on Easter 2018. Last minute plans were accommodated with a 9:00 dinner reservation. Browsing thru other Yelp reviews, I came in with a plan. Service was top notch. I've seen ladies and their ""purse hooks"" for tables in restaurants but this establishment provides a personal miniature stool to keep purses off the floor. Wood tables and clean lines throughout provided a modern yet classic ambiance.Our waiter suggested we treat our orders as family style so we could each enjoy various items from the menu. Trying to avoid being too over-bearing with my Yelpness, I patiently waited for the table of 5 to order. I knew if someone didn't order the bone marrow for an appetizer, it would be the definite choice for me. The same thing for the braised beef rib. The table overall did a good job in creating a variety of appetizers with oysters, bone marrow, charcuterie board, and beef tartare. For 5 people this provided a good assortment to share. All were excellent but of course I enjoyed the bone marrow the most. The roasted flavor of marrow and truffle butter was a pleasant symphony with the textures from the oat-thyme streusel then spread on the toast points.For entrees, the table ordered the beef rib (x2), organic chicken, pork shank, and of course the duck breast. While prices did lean towards the $$$ side, rest assured that portion sizes were significant given the quality and detail to each dish. The beef rib serving was enough for two so a substantial amount of food did come home. As much as I wanted to try the apple pie dessert, it simply wasn't going to happen tonight. A 9:00 start on a leisurely dinner with drinks and appetizers just wasn't a formula that ended in dessert. I highly recommend a meal here and have also read great things about their brunch. If I lived in the area, this would be an easy addition to the list for special occasion restaurants.",Edward A.
13,Fort Worth,2018-04-25,4WHhBZSq3nA8tEsOED7-3Q,5, TX,"I was traveling in Washington, and decided to spoil myself by staying at the Park Hyatt in DC. The hotel itself is lovely, but one of the winning features is the Blue Duck Tavern located in the first floor. It was last minute, but I asked if the concierge could do me a favor by booking me a single table at the restaurant the next night. Thankfully, they were able to get me a great seat at 8pm, and since I was staying right upstairs, I decided to indulge. So on to the feast:I had a three course meal with wine pairings for each. So naturally, I had to start with the Fois Gras terrine with pumpkin, apricot compote, honey and toast points. Creamy and rich, the fois gras paired excellently with the accompanying compotes and honey, and I truly savored this dish. I had a lovely glass of pinot gris with this plate. The fois gras is an excellent idea if you're at the Blue Duck Tavern, and I believe the dish is consistently on the menu (even though the menu changes seasonally).The second dish was the seared duck with orange and tomato. The duck was succulent, and bursting with flavor, and was perfect by itself, no side needed. You're served approximately a half duck, so its a significant portion. I paired this dish with a tart Syrah, which offset the slightly sweeter nature of the meat.Finally I finished with an incredible dessert, the butterscotch dessert. It was almost like a pudding, with crunchy pieces and a deep toffee flavor. It was excellent when paired with a glass of Sauternes, even though the Sauternes is by nature a sweeter digestif. Service was decent, although my server wasn't the most friendly at the beginning, and focused much more on the other tables (with couples or larger groups). I did have a decent conversation with him, and afterwards he was much friendlier and hospitable. Afterwards, I slowly wandered back to my room and fell asleep, a full satiated fella. If you're curious, the total cost of my three course meal including wines came out to approximately $100.--------------Keep in mind the restaurant also serves an excellent breakfast, with egg dishes available on request, and a variety of hot and cold dishes that are high quality.I can see why they received a Michelin star, although I would say that some of the service needs to be boosted a bit. It could be that I was a single diner, but that doesn't mean service needs to be reduced to single diners.",Shane F.
14,New York,2018-05-07,L66lNreGIXPnCbEh-s8NLQ,5, NY,"The short: this spot is beautiful, the service is top notch, the open kitchen is super cool and the food is amazing! The longer: I made a reservation to celebrate my birthday on open table, and we were welcomed with personalized menus that said happy birthday. The hostess and waiter both wished me a happy birthday & helped us settle in with delicious glasses of bubbly. We started with oysters, and then went into entrees and sides. I had the whole fish special (red snapper) and my boyfriend had the duck. We had a side of the fries and the mushrooms. The fries are crispy on the outside and like mashed potatoes on the inside. For dessert we had a grapefruit lemon concoction that was amazing. We had such a perfect meal and experience- wouldn't hesitate to come back here, and super appreciative to the staff and culinary crew for helping to make my birthday so special!",Jennifer R.
15,Chantilly,2018-04-03,4biflNSUTTrTaNJIjQnD2w,5, VA,"We had a lovely meal here.There is meter parking, as well as lots around the area. The restaurant is located inside the Park Hyatt Hotel.Made reservations awhile back and were seated on time. The hostess was friendly and helpful. There is plenty of seating inside and we loved the ambiance. It's laid back and the decor is very natural. Our server Craig was the best! He was incredibly attentive, friendly, welcoming, and knowledgeable. Everything we ordered from start to finish was a party in our mouth. Some of our favorites were the White Corn Grits, Pecan Sticky Buns, BDT Brunch Burger, and Apple Pie. All of the dishes were perfectly seasoned and well prepared.",Kimberly J.
16,Washington,2018-04-22,1X_rtM7D0f0gA19n-gRY9w,5, DC,"Blue duck tavern was phenomenal. It is a bit pricey, but honestly very reasonable for a Michelin star restaurant and the quality of food and service here. I had to make a weekend brunch reservation about 2-3 weeks in advance, and it was so worth it. We ordered the bone marrow to share. I had never had bone marrow before, but after this experience, I will definitely be having it again. The marrow was fatty and the salt and seasoning on top was so flavorful and flavored the entire marrow. Spread on top of little pieces of roasted bread, also with a little bit of roasted garlic, it was delicious. Super heavy and filling, but so so good. For entree, I got the short rib hash. I would definitely recommend trying this! The short rib was unbelievably tender, and the sauce was sweet and savory. It was absolutely delicious. With a perfectly soft fried egg on top and biscuit on the side, it was one of the best brunch dishes I've ever had. My friends got the shrimp and grits and hot fried chicken sandwich. Both were delicious and would recommend as well. But a must have, stand out is the short rib hash!Amazing experience at blue duck tavern! Great service and beyond great food!",Tonia W.
17,Washington,2018-03-25,9fLNmnBwJcnKEivBetpKOg,5, DC,"If you're looking for a high quality restaurant that reflects top notch American foods, you've come to the right place!RUNDOWN:- A high end restaurant with just as fancy decor; the floor to ceiling glass walls are what drew me in! - The food is INCREDIBLE. If you think it's pricy, it's for good reason. The thought and detail they put into their dishes is amazing and you can taste the quality through and through.- The service is one of the best I've had. If you have reservations ahead of time and let them know what type of special occasion it's for (anniversary, birthday, etc.) they'll give you a customized menu that says Happy Anniversary or Happy Birthday X at the top. This type of attention to detail is exactly what brings back customers! You even get to keep these menus as a souvenir ;) On top of that, our server Lewis was EXTREMELY kind, welcoming, and very personable. He has really set the bar for the perfect dining experience. TIPS/RECS:- Do NOT come without reservations (maybe you'll get lucky) but the wait can get long! Luckily, they have a bar to the left of the restaurant and you can wait there until your table is ready- Another reason to come on your anniversary, birthday, or another special occasion is because they usually have a free dessert of some sort for you!-- FOIS GRAS CREME BRÛLÉE (omg so good)-- MOULARD DUCK BREAST (literally any duck they have will be good)-- WOOD OVEN ROASTED BONE MARROWThis is truly what a fine dining restaurant should encompass and I'm a huge fan!",Cindy M.
18,Washington,2018-04-12,EbniLK07sw8CtFQxQ5NEGQ,5, DC,"YUMWent here for brunch on a Sunday and man, this place is good!  Got the chicken and biscuit starter and wow, we could have licked the plate clean. One of the better biscuits in town. I ordered the ham Benedict and it was very tasty (anti-pickle people- be warned they snuck a pickle in there!) I tried the candy pop rock sorbet mimosa (kiwi flavored) and I wouldn't say it was very life changing. I'll go without it next time.  Overall, the service was great and the lighting/ambiance was very inviting. Can't wait to go back!",Paige F.
19,Charlotte,2018-07-16,06X3kcACErh7xHHGGMIQwQ,5, NC,"I was debating between giving this restaurant 4 stars or 5 stars. My server, Michael, was the reason for me writing a 5-star review. I was one of those annoying tourists who made a last minute reservation, and the hostess was very accommodating in finding a spot for me in the very busy restaurant. Once I arrived, I was directed to a quiet corner, and Michael welcomed me to the restaurant and the city (as I definitely looked like a noob!). He shared his favorite dishes, and with his advice, I ended up getting the soft shell crab and the duck.The food was really good, but the food wasn't anything extraordinary. Both the soft shell crab and the duck were cooked to perfection. The soft shell crab had a lot of flavor, and I liked the cucumber and radish complements to the dish. Even though the duck was cooked perfectly, I think there could have been a little bit more flavoring (such as more sweetness) to offset the gamy taste of duck. Again, I'm probably a little picky, so heed caution with my opinion. All in all, the food was delicious!Michael (my server) was the reason though for my enjoyable dining experience. He gave me complimentary cookies and a side of grits (which were delicious), gave me advice on good restaurants in the area, and talked with me throughout the night. Michael, thanks for being a friendly face in a new town! You made my night :)",Avery B.
20,Arlington,2018-06-24,4luLHWmO_oraUW54xKN7gg,5, VA,"A friend of mine recommended that I check out Blue Duck Tavern for their desserts, but I figured if I was going, I would do the whole shebang. My boyfriend and I decided to go for our anniversary (definitely makes reservations) so we skipped out on the appetizers so we would have room for dessert. We both got the wood fired butcher's cut steak (it was the cut between the sirloin and New York strip)l that day). You could actually taste the wood influence cooked in, and the steak was covered in red wine jus. We also got the fries as our side. You have to order the sides a la carte but they are shareable for two people, and definitely worth it. I recommend the fries as a side, next time I'm trying the grits per my friend's recommendation. Their wine selection is also amazing. I got a cab and he got a Malbec. For dessert we split the chocolate cake, which I would come back just for that. It was on top of caramel sauce and included smoked vanilla ice cream. The cake was heavenly and I can confirm that I would come back to Blue Duck just to enjoy a dessert. I also had a white port dessert wine with it. I didn't know quite port was a thing but now I will get it whenever I see it on the menu. Our waiter was superb. He knew the menu like the back of his hand and answered every question we had concisely. He also had great table presence and didn't check in too much to be a nuisance but made sure our needs were met. It's nice to be taken care of by someone who understand table etiquette and restaurant body language. When reading reviews I saw a lot about portion sizes being too small, but they were perfect. A lot of other restaurants serve too much food that you feel obligated to finish and you leave feeling stuffed and almost sick. At Blue Duck, everything was so perfectly portioned that you were able to enjoy multiple courses, finish the whole plate, and not get overly full. When leaving Blue Duck you will feel satisfied instead of stuffed.",Katelyn C.
21,Montgomery Village,2018-03-18,9GxDULJvgMzEjTGZA2eing,5, MD,"We celebrated our 1 year anniversary here. This happened to be our 2nd Michelin star restaurant experience. It was definitely the right choice of venue to celebrate this special milestone in our relationship.Food: luxuriously decadent...Bone marrow and bread appetizer - 5/5 - this was my first time having beef bone marrow as a bread spread - absolutely delicious gelatinous fatty salty-savory spread. (I'm 30 and had never tried this before???)Moulard duck breast with tomato orange marmalade - 5/5 - absolutely delicious thick cuts of fresh tender duck in a refreshing fruity side condiment. Braised beef rib with stone ground mustard spatzle - 5/5 - super tender savory beef rib smothered in a unique seasoned sauce.Whipped (mashed) bone marrow potato - 5/5 - so unbelievably rich and decadent that the server insisted us to order claiming it to be the best mashed potatoes and he may be right about it!Mandarin custard - 5/5 - absolutely beauty in a cup and an amazing distinct taste. Loved it!Apple pie - 4.5/5 - perhaps the best apple pie, best accompanied with a scoop of vanilla ice cream (that is if you are a fan otherwise it may not impress you at all)Let it linger cocktail - 5/5 - loved it! Oh my darling cocktail -5/5- strong kick with this gin Service: impeccable, attentive and friendly. Special recognition to Frank, our server, who gave us fabulous recommendations Ambience: very fabulous contemporary modern decor with a layout of divided  subsections for privacy",Alex N.
22,Washington,2018-04-04,DmYjPQ_rX3sBmGpAjbVrLw,5, DC,"Amazing food and even more amazing service! I spent years in the foggy bottom area and finally decided to try blue duck tavern. Three words I AM HOOKED! The food is absolutely phenomenal. I made a reservation for brunch and as soon as I was led in I was greeted by the pleasant smell that fills the restaurant. The menu can start to look like everything meshes together so read carefully! To start we had the crab cakes which were amazing! There was absolutely no filler. (Wasn't expecting filler, but still lol) The crab cakes were also topped with caviar which was a nice flare. The short rib hash and the pancakes were entrees that I tried. The hash was cooked to perfection with a very tasty sauce at the bottom of the dish paid with an egg cooked to your liking. The pancakes were amazing and the nuts were a nice addition to the top pancake with the cream. The syrup they serve is nice and light! To drink, I had the lemonade which is definitely made the list for top 5 lemonades I've ever had. The lemonade was fresh and not too tart. I cannot wait to come back to blue duck tavern. I would like to try the dinner soon!",Armani Y.
23,Alexandria,2018-04-21,G2akPcdnIxg8DvcvyyWl1A,5, VA,"Came here for dinner tonight.  Waited 2 months to get a Saturday reservation.   The ambiance in this place is spot on; its lively, not very noisy, interactive, and not overly pretentious.  The complimentary bread is delicious.  We order Lobster Bisque to start, which was delicious.   The we had Bone Marrow which was also very good.  The bread and the garlic were perfect compliments.  For the Mains I had Rockfish, my husband had Duck Breast and we shared roasted mushrooms.  I really enjoyed our dinner and have already reserved again for June.",Jason T.
24,Alexandria,2018-05-29,RiNSnWarJ04mS0l8go20wQ,5, VA,"This was my first Michelin Star restaurant experience. The vibe super modern, sophisticated and romantic. It's definitely what you would expect from a restaurant being inside of the Park Hyatt. The funny thing is, we walked in without a reservation on a weekend. It was about maybe 9:30pm. We were unable to sit in the main dining room , but what's nice is the entire menu is offered in the more casual dining area which is immediately to your left upon walking into the restaurant (where the wall of windows are). I cannot remember our waitress's name, but her service was impeccable. She was patient and very attentive. Everyone was quite pleasant, actually. We started with the bone marrow - superb. I can't even think of any other way to describe it. My boyfriend ordered the burger, and fell in love. I had the chicken and was only slightly impressed by it; I thought it could have been seasoned a bit better. We finished with the apple pie and it was wonderful - not to heavy and sweet; it was absolutely perfect. I think I'd like to revisit during brunch. I definitely give this place 5 stars and highly recommend if you're a foodie in the DC-area.",Alexis B.
25,Washington,2018-03-21,0UrQ2O-j4r4KonSnKmG0Dg,4, DC,"Hands down one of my favorite restaurants in DC. I've come here once for dinner and another time solely to try the apple pie.For dinner, my husband and I ate outside in the patio so highly suggest that if weather permits! We had to try the bone marrow as suggested - very good and filling. Depending on your hunger level this could easily fill you up but 2-3 people is a perfect appetizer portion. I went for the duck and my husband went for the cod. Duck was amazing! Juicy with a slight crisp and the marmalade was a good and not overpowering sweetness to it. -------Now for dessert, it wasn't apple season so they didn't have apple pie available when we went so we decided to come when it was there. I wouldn't say it was my most favorite apple pie ever but it was a unique take on it. I'm not sure if $24 is worth it for the pie but it is very filling. The great thing I enjoyed about the pie was the freshness of the apples. Some apple pies are either too gooey and are overpowered by too much sugar. Blue duck tavern does a great take on it. I'm not sure if our pie had been sitting out in the kitchen, but the filling was a little cold, so it wasn't as enjoyable as I would've hoped.-------This drink may be a seasonal drink but the Cuffing Season was delicious. I believe it was a mix of rum, matcha, banana, and possibly sparkling wine. The banana kind of threw me off but surprisingly it was very good and hopefully it'll be there when I return!",Cassie P.
